query	entrezgene	name	symbol	alias	taxid	HGNC
PCP2	126006	Purkinje cell protein 2	PCP2	GPSM4	9606	HGNC:30209
PCP4	5121	Purkinje cell protein 4	PCP4	PEP-19	9606	HGNC:8742
PCP4L1	654790	Purkinje cell protein 4 like 1	PCP4L1	IQM1	9606	HGNC:20448
PCSK1	5122	proprotein convertase subtilisin/kexin type 1	PCSK1	BMIQ12, NEC1, PC1, PC3, SPC3	9606	HGNC:8743
PCSK1N	27344	proprotein convertase subtilisin/kexin type 1 inhibitor	PCSK1N	BigLEN, PEN, PROSAAS, SAAS, SCG8	9606	HGNC:17301
PCSK2	5126	proprotein convertase subtilisin/kexin type 2	PCSK2	NEC 2, NEC-2, NEC2, PC2, SPC2	9606	HGNC:8744
PCSK4	54760	proprotein convertase subtilisin/kexin type 4	PCSK4	PC4, SPC5	9606	HGNC:8746
PCSK5	5125	proprotein convertase subtilisin/kexin type 5	PCSK5	PC5, PC6, PC6A, SPC6	9606	HGNC:8747
PCSK6	5046	proprotein convertase subtilisin/kexin type 6	PCSK6	PACE4, SPC4	9606	HGNC:8569
PCSK7	9159	proprotein convertase subtilisin/kexin type 7	PCSK7	LPC, PC7, PC8, SPC7	9606	HGNC:8748
PCSK9	255738	proprotein convertase subtilisin/kexin type 9	PCSK9	FH3, FHCL3, HCHOLA3, LDLCQ1, NARC-1	9606	HGNC:20001
PCTP	58488	phosphatidylcholine transfer protein	PCTP	PC-TP, STARD2	9606	HGNC:8752
PCYOX1	51449	prenylcysteine oxidase 1	PCYOX1	PCL1	9606	HGNC:20588
PCYOX1L	78991	prenylcysteine oxidase 1 like	PCYOX1L		9606	HGNC:28477
PCYT1A	5130	phosphate cytidylyltransferase 1A, choline	PCYT1A	CCTA, CCTalpha, CT, CTA, CTPCT	9606	HGNC:8754
PCYT1B	9468	phosphate cytidylyltransferase 1B, choline	PCYT1B	CCTB, CTB	9606	HGNC:8755
PCYT2	5833	phosphate cytidylyltransferase 2, ethanolamine	PCYT2	ET, SPG82	9606	HGNC:8756
PDAP1	11333	PDGFA associated protein 1	PDAP1	HASPP28, PAP, PAP1	9606	HGNC:14634
PDC	5132	phosducin	PDC	MEKA, PHD, PhLOP, PhLP	9606	HGNC:8759
PDCD1	5133	programmed cell death 1	PDCD1	CD279, PD-1, PD1, SLEB2, hPD-1	9606	HGNC:8760
PDCD10	11235	programmed cell death 10	PDCD10	CCM3, TFAR15	9606	HGNC:8761
PDCD11	22984	programmed cell death 11	PDCD11	ALG-4, ALG4, NFBP, RRP5	9606	HGNC:13408
PDCD1LG2	80380	programmed cell death 1 ligand 2	PDCD1LG2	B7DC, Btdc, CD273, PD-L2, PDCD1L2	9606	HGNC:18731
PDCD2	5134	programmed cell death 2	PDCD2	RP8, ZMYND7	9606	HGNC:8762
PDCD2L	84306	programmed cell death 2 like	PDCD2L		9606	HGNC:28194
PDCD4	27250	programmed cell death 4	PDCD4	H731	9606	HGNC:8763
PDCD5	9141	programmed cell death 5	PDCD5	TFAR19	9606	HGNC:8764
PDCD6	10016	programmed cell death 6	PDCD6	ALG-2, ALG2, PEF1B	9606	HGNC:8765
PDCD6IP	10015	programmed cell death 6 interacting protein	PDCD6IP	AIP1, ALIX, DRIP4, HP95	9606	HGNC:8766
PDCD7	10081	programmed cell death 7	PDCD7	59K, ES18, HES18	9606	HGNC:8767
PDCL	5082	phosducin like	PDCL	PhLP	9606	HGNC:8770
PDCL2	132954	phosducin like 2	PDCL2	GCPHLP	9606	HGNC:29524
PDCL3	79031	phosducin like 3	PDCL3	HTPHLP, PHLP2A, PHLP3, VIAF, VIAF1	9606	HGNC:28860
PDCL3P4	285359	PDCL3 pseudogene 4	PDCL3P4		9606	HGNC:44505
PDE10A	10846	phosphodiesterase 10A	PDE10A	ADSD2, HSPDE10A, IOLOD, LINC00473, PDE10A19	9606	HGNC:8772
PDE11A	50940	phosphodiesterase 11A	PDE11A	PPNAD2	9606	HGNC:8773
PDE12	201626	phosphodiesterase 12	PDE12	2'-PDE, 2-PDE	9606	HGNC:25386
PDE1A	5136	phosphodiesterase 1A	PDE1A	CAM-PDE 1A, CAM-PDE-1A, HCAM-1, HCAM1, HSPDE1A	9606	HGNC:8774
PDE1B	5153	phosphodiesterase 1B	PDE1B	HEL-S-79p, PDE1B1, PDES1B	9606	HGNC:8775
PDE1C	5137	phosphodiesterase 1C	PDE1C	DFNA74, Hcam3, cam-PDE 1C, hCam-3	9606	HGNC:8776
PDE2A	5138	phosphodiesterase 2A	PDE2A	CGS-PDE, IDDPADS, PDE2A1, PED2A4, cGSPDE	9606	HGNC:8777
PDE3A	5139	phosphodiesterase 3A	PDE3A	CGI-PDE, CGI-PDE A, CGI-PDE-A, HTNB	9606	HGNC:8778
PDE3B	5140	phosphodiesterase 3B	PDE3B	HcGIP1, cGIPDE1	9606	HGNC:8779
PDE4A	5141	phosphodiesterase 4A	PDE4A	DPDE2, PDE4, PDE46	9606	HGNC:8780
PDE4B	5142	phosphodiesterase 4B	PDE4B	DPDE4, PDEIVB	9606	HGNC:8781
PDE4C	5143	phosphodiesterase 4C	PDE4C	DPDE1, PDE21	9606	HGNC:8782
PDE4D	5144	phosphodiesterase 4D	PDE4D	ACRDYS2, DPDE3, HSPDE4D, PDE43, PDE4DN2	9606	HGNC:8783
PDE4DIP	9659	phosphodiesterase 4D interacting protein	PDE4DIP	CMYA2, MMGL	9606	HGNC:15580
PDE5A	8654	phosphodiesterase 5A	PDE5A	CGB-PDE, CN5A, PDE5	9606	HGNC:8784
PDE6A	5145	phosphodiesterase 6A	PDE6A	CGPR-A, PDEA, RP43	9606	HGNC:8785
PDE6B	5158	phosphodiesterase 6B	PDE6B	CSNB3, CSNBAD2, GMP-PDEbeta, PDEB, RP40	9606	HGNC:8786
PDE6C	5146	phosphodiesterase 6C	PDE6C	ACHM5, COD4, PDEA2	9606	HGNC:8787
PDE6D	5147	phosphodiesterase 6D	PDE6D	JBTS22, PDED	9606	HGNC:8788
PDE6G	5148	phosphodiesterase 6G	PDE6G	PDEG, RP57	9606	HGNC:8789
PDE6H	5149	phosphodiesterase 6H	PDE6H	ACHM6, RCD3	9606	HGNC:8790
PDE7A	5150	phosphodiesterase 7A	PDE7A	HCP1, PDE7	9606	HGNC:8791
PDE7B	27115	phosphodiesterase 7B	PDE7B	bA472E5.1	9606	HGNC:8792
PDE8A	5151	phosphodiesterase 8A	PDE8A	HsT19550	9606	HGNC:8793
PDE8B	8622	phosphodiesterase 8B	PDE8B	ADSD, PPNAD3	9606	HGNC:8794
PDE9A	5152	phosphodiesterase 9A	PDE9A	HSPDE9A2	9606	HGNC:8795
PDF	64146	peptide deformylase, mitochondrial	PDF		9606	HGNC:30012
PDGFA	5154	platelet derived growth factor subunit A	PDGFA	PDGF-A, PDGF1	9606	HGNC:8799
PDGFB	5155	platelet derived growth factor subunit B	PDGFB	IBGC5, PDGF-2, PDGF2, SIS, SSV	9606	HGNC:8800
PDGFC	56034	platelet derived growth factor C	PDGFC	FALLOTEIN, SCDGF	9606	HGNC:8801
PDGFD	80310	platelet derived growth factor D	PDGFD	IEGF, MSTP036, SCDGF-B, SCDGFB	9606	HGNC:30620
PDGFRA	5156	platelet derived growth factor receptor alpha	PDGFRA	CD140A, PDGFR-2, PDGFR2	9606	HGNC:8803
PDGFRB	5159	platelet derived growth factor receptor beta	PDGFRB	CD140B, IBGC4, IMF1, JTK12, KOGS	9606	HGNC:8804
PDGFRL	5157	platelet derived growth factor receptor like	PDGFRL	PDGRL, PRLTS	9606	HGNC:8805
PDHA1	5160	pyruvate dehydrogenase E1 subunit alpha 1	PDHA1	PDHA, PDHAD, PDHCE1A, PHE1A	9606	HGNC:8806
PDHA2	5161	pyruvate dehydrogenase E1 subunit alpha 2	PDHA2	PDHAL	9606	HGNC:8807
PDHB	5162	pyruvate dehydrogenase E1 subunit beta	PDHB	PDHBD, PDHE1-B, PDHE1B, PHE1B	9606	HGNC:8808
PDHX	8050	pyruvate dehydrogenase complex component X	PDHX	DLDBP, E3BP, OPDX, PDHXD, PDX1	9606	HGNC:21350
PDIA2	64714	protein disulfide isomerase family A member 2	PDIA2	PDA2, PDI, PDIP, PDIR	9606	HGNC:14180
PDIA3	2923	protein disulfide isomerase family A member 3	PDIA3	ER60, ERp57, ERp60, ERp61, GRP57	9606	HGNC:4606
PDIA3P1	171423	protein disulfide isomerase family A member 3 pseudogene 1	PDIA3P1	ERp60, GRP58P, PDIA3P	9606	HGNC:4607
PDIA4	9601	protein disulfide isomerase family A member 4	PDIA4	ERP70, ERP72, ERp-72	9606	HGNC:30167
PDIA5	10954	protein disulfide isomerase family A member 5	PDIA5	PDIR	9606	HGNC:24811
PDIA6	10130	protein disulfide isomerase family A member 6	PDIA6	ERP5, P5, TXNDC7	9606	HGNC:30168
PDIK1L	149420	PDLIM1 interacting kinase 1 like	PDIK1L	CLIK1L, STK35L2	9606	HGNC:18981
PDILT	204474	protein disulfide isomerase like, testis expressed	PDILT	PDIA7	9606	HGNC:27338
PDK1	5163	pyruvate dehydrogenase kinase 1	PDK1		9606	HGNC:8809
PDK2	5164	pyruvate dehydrogenase kinase 2	PDK2	PDHK2, PDKII	9606	HGNC:8810
PDK3	5165	pyruvate dehydrogenase kinase 3	PDK3	CMTX6, GS1-358P8.4	9606	HGNC:8811
PDK4	5166	pyruvate dehydrogenase kinase 4	PDK4		9606	HGNC:8812
PDLIM1	9124	PDZ and LIM domain 1	PDLIM1	CLIM1, CLP-36, CLP36, HEL-S-112, hCLIM1	9606	HGNC:2067
PDLIM2	64236	PDZ and LIM domain 2	PDLIM2	MYSTIQUE, SLIM	9606	HGNC:13992
PDLIM3	27295	PDZ and LIM domain 3	PDLIM3	ALP	9606	HGNC:20767
PDLIM4	8572	PDZ and LIM domain 4	PDLIM4	RIL	9606	HGNC:16501
PDLIM5	10611	PDZ and LIM domain 5	PDLIM5	ENH, ENH1, L9, LIM	9606	HGNC:17468
PDLIM7	9260	PDZ and LIM domain 7	PDLIM7	LMP1, LMP3	9606	HGNC:22958
PDP1	54704	pyruvate dehydrogenase phosphatase catalytic subunit 1	PDP1	PDH, PDP, PDPC, PPM2A, PPM2C	9606	HGNC:9279
PPM2C	54704	pyruvate dehydrogenase phosphatase catalytic subunit 1	PDP1	PDH, PDP, PDPC, PPM2A, PPM2C	9606	HGNC:9279
PDP2	57546	pyruvate dehyrogenase phosphatase catalytic subunit 2	PDP2	PDPC 2, PPM2B, PPM2C2	9606	HGNC:30263
PDPK1	5170	3-phosphoinositide dependent protein kinase 1	PDPK1	PDK1, PDPK2, PDPK2P, PRO0461	9606	HGNC:8816
PDPK2	5170	3-phosphoinositide dependent protein kinase 1	PDPK1	PDK1, PDPK2, PDPK2P, PRO0461	9606	HGNC:8816
PDPK2P	653650	3-phosphoinositide dependent protein kinase 2, pseudogene	PDPK2P		9606	HGNC:49897
PDPN	10630	podoplanin	PDPN	AGGRUS, GP36, GP40, Gp38, HT1A-1	9606	HGNC:29602
PDPR	55066	pyruvate dehydrogenase phosphatase regulatory subunit	PDPR	PDP3	9606	HGNC:30264
PDRG1	81572	p53 and DNA damage regulated 1	PDRG1	C20orf126, PDRG	9606	HGNC:16119
PDS5A	23244	PDS5 cohesin associated factor A	PDS5A	PIG54, SCC-112, SCC112	9606	HGNC:29088
PDS5B	23047	PDS5 cohesin associated factor B	PDS5B	APRIN, AS3, CG008	9606	HGNC:20418
PDSS1	23590	decaprenyl diphosphate synthase subunit 1	PDSS1	COQ1, COQ10D2, COQ1A, DPS, SPS	9606	HGNC:17759
PDSS2	57107	decaprenyl diphosphate synthase subunit 2	PDSS2	C6orf210, COQ10D3, COQ1B, DLP1, bA59I9.3	9606	HGNC:23041
PDX1	3651	pancreatic and duodenal homeobox 1	PDX1	GSF, IDX-1, IPF1, IUF1, MODY4	9606	HGNC:6107
PDXDC1	23042	pyridoxal dependent decarboxylase domain containing 1	PDXDC1	LP8165	9606	HGNC:28995
PDXDC2	109731405	pyridoxal dependent decarboxylase domain containing 2, pseudogene	PDXDC2P	PDXDC2	9606	HGNC:27559
PDXDC2P	109731405	pyridoxal dependent decarboxylase domain containing 2, pseudogene	PDXDC2P	PDXDC2	9606	HGNC:27559
PDXK	8566	pyridoxal kinase	PDXK	C21orf124, C21orf97, HEL-S-1a, HMSN6C, PKH	9606	HGNC:8819
PDXP	57026	pyridoxal phosphatase	PDXP	CIN, PLP, dJ37E16.5	9606	HGNC:30259
PDYN	5173	prodynorphin	PDYN	ADCA, PENKB, SCA23	9606	HGNC:8820
PDZD11	51248	PDZ domain containing 11	PDZD11	AIPP1, PDZK11, PISP	9606	HGNC:28034
PDZD2	23037	PDZ domain containing 2	PDZD2	AIPC, PAPIN, PDZK3, PIN1	9606	HGNC:18486
PDZD3	79849	PDZ domain containing 3	PDZD3	IKEPP, NHERF4, PDZK2	9606	HGNC:19891
PDZD4	57595	PDZ domain containing 4	PDZD4	LNX5, LU1, PDZK4, PDZRN4L	9606	HGNC:21167
PDZD7	79955	PDZ domain containing 7	PDZD7	DFNB57, PDZK7	9606	HGNC:26257
PDZD8	118987	PDZ domain containing 8	PDZD8	PDZK8	9606	HGNC:26974
PDZD9	255762	PDZ domain containing 9	PDZD9	C16orf65	9606	HGNC:28740
PDZK1	5174	PDZ domain containing 1	PDZK1	CAP70, CLAMP, NHERF-3, NHERF3, PDZD1	9606	HGNC:8821
PDZK1IP1	10158	PDZK1 interacting protein 1	PDZK1IP1	DD96, MAP17, SPAP	9606	HGNC:16887
PDZK1P2	100034743	PDZ domain containing 1 pseudogene 1	PDZK1P1	PDZK1P2	9606	HGNC:31974
PDZRN3	23024	PDZ domain containing ring finger 3	PDZRN3	LNX3, SEMACAP3, SEMCAP3	9606	HGNC:17704
PDZRN4	29951	PDZ domain containing ring finger 4	PDZRN4	LNX4, SAMCAP3L	9606	HGNC:30552
PEA15	8682	proliferation and apoptosis adaptor protein 15	PEA15	HMAT1, HUMMAT1H, MAT1, MAT1H, PEA-15	9606	HGNC:8822
PEAK1	79834	pseudopodium enriched atypical kinase 1	PEAK1	SGK269	9606	HGNC:29431
C19ORF35	374872	PEAK family member 3	PEAK3	C19orf35	9606	HGNC:24793
PEAR1	375033	platelet endothelial aggregation receptor 1	PEAR1	JEDI, MEGF12	9606	HGNC:33631
PEBP1	5037	phosphatidylethanolamine binding protein 1	PEBP1	HCNP, HCNPpp, HEL-210, HEL-S-34, HEL-S-96	9606	HGNC:8630
PEBP4	157310	phosphatidylethanolamine binding protein 4	PEBP4	CORK-1, CORK1, GWTM1933, HEL-S-300, PEBP-4	9606	HGNC:28319
PECAM1	5175	platelet and endothelial cell adhesion molecule 1	PECAM1	CD31, CD31/EndoCAM, GPIIA', PECA1, PECAM-1	9606	HGNC:8823
PECR	55825	peroxisomal trans-2-enoyl-CoA reductase	PECR	DCRRP, HPDHASE, HSA250303, PVIARL, SDR29C1	9606	HGNC:18281
TMEM189	387521	plasmanylethanolamine desaturase 1	PEDS1	CarF, KUA, TMEM189	9606	HGNC:16735
TMEM189-UBE2V1	387522	PEDS1-UBE2V1 readthrough	PEDS1-UBE2V1	CROC-1B, CROC1B, KUA-UEV, TMEM189-UBE2V1	9606	HGNC:33521
PEF1	553115	penta-EF-hand domain containing 1	PEF1	ABP32, PEF1A	9606	HGNC:30009
PEG10	23089	paternally expressed 10	PEG10	EDR, HB-1, MEF3L, Mar2, Mart2	9606	HGNC:14005
PEG3	5178	paternally expressed 3	PEG3	PW1, ZKSCAN22, ZNF904, ZSCAN24	9606	HGNC:8826
PELI1	57162	pellino E3 ubiquitin protein ligase 1	PELI1		9606	HGNC:8827
PELI2	57161	pellino E3 ubiquitin protein ligase family member 2	PELI2		9606	HGNC:8828
PELI3	246330	pellino E3 ubiquitin protein ligase family member 3	PELI3		9606	HGNC:30010
PELO	53918	pelota mRNA surveillance and ribosome rescue factor	PELO	CGI-17, PRO1770	9606	HGNC:8829
PELP1	27043	proline, glutamate and leucine rich protein 1	PELP1	MNAR, P160	9606	HGNC:30134
PEMT	10400	phosphatidylethanolamine N-methyltransferase	PEMT	PEAMT, PEMPT, PEMT2, PLMT, PNMT	9606	HGNC:8830
PENK	5179	proenkephalin	PENK	PE, PENK-A	9606	HGNC:8831
PEPD	5184	peptidase D	PEPD	PROLIDASE	9606	HGNC:8840
PER1	5187	period circadian regulator 1	PER1	PER, RIGUI, hPER	9606	HGNC:8845
PER2	8864	period circadian regulator 2	PER2	FASPS, FASPS1	9606	HGNC:8846
PER3	8863	period circadian regulator 3	PER3	FASPS3, GIG13	9606	HGNC:8847
PERP	64065	p53 apoptosis effector related to PMP22	PERP	EKVP7, KCP1, KRTCAP1, OLMS2, PIGPC1	9606	HGNC:17637
PES1	23481	pescadillo ribosomal biogenesis factor 1	PES1	NOP7, PES	9606	HGNC:8848
PET100	100131801	PET100 cytochrome c oxidase chaperone	PET100	C19orf79, MC4DN12	9606	HGNC:40038
PET117	100303755	PET117 cytochrome c oxidase chaperone	PET117	CSRP2BP, MC4DN19	9606	HGNC:40045
PEX1	5189	peroxisomal biogenesis factor 1	PEX1	HMLR1, PBD1A, PBD1B, ZWS, ZWS1	9606	HGNC:8850
PEX10	5192	peroxisomal biogenesis factor 10	PEX10	NALD, PBD6A, PBD6B, RNF69	9606	HGNC:8851
PEX11A	8800	peroxisomal biogenesis factor 11 alpha	PEX11A	PEX11-ALPHA, PMP28, hsPEX11p	9606	HGNC:8852
PEX11B	8799	peroxisomal biogenesis factor 11 beta	PEX11B	PEX11-BETA, PEX14B	9606	HGNC:8853
PEX11G	92960	peroxisomal biogenesis factor 11 gamma	PEX11G		9606	HGNC:20208
PEX12	5193	peroxisomal biogenesis factor 12	PEX12	PAF-3, PBD3A	9606	HGNC:8854
PEX13	5194	peroxisomal biogenesis factor 13	PEX13	NALD, PBD11A, PBD11B, ZWS	9606	HGNC:8855
PEX14	5195	peroxisomal biogenesis factor 14	PEX14	NAPP2, PBD13A, Pex14p, dJ734G22.2	9606	HGNC:8856
PEX16	9409	peroxisomal biogenesis factor 16	PEX16	PBD8A, PBD8B	9606	HGNC:8857
PEX19	5824	peroxisomal biogenesis factor 19	PEX19	D1S2223E, HK33, PBD12A, PMP1, PMPI	9606	HGNC:9713
PEX2	5828	peroxisomal biogenesis factor 2	PEX2	PAF1, PBD5A, PBD5B, PMP3, PMP35	9606	HGNC:9717
PXMP3	5828	peroxisomal biogenesis factor 2	PEX2	PAF1, PBD5A, PBD5B, PMP3, PMP35	9606	HGNC:9717
PEX26	55670	peroxisomal biogenesis factor 26	PEX26	PBD7A, PBD7B, PEX26M1T, Pex26pM1T	9606	HGNC:22965
PEX3	8504	peroxisomal biogenesis factor 3	PEX3	PBD10A, PBD10B, TRG18	9606	HGNC:8858
PEX5	5830	peroxisomal biogenesis factor 5	PEX5	PBD2A, PBD2B, PTS1-BP, PTS1R, PXR1	9606	HGNC:9719
PEX5L	51555	peroxisomal biogenesis factor 5 like	PEX5L	PEX5R, PEX5RP, PXR2, PXR2B, TRIP8b	9606	HGNC:30024
PEX6	5190	peroxisomal biogenesis factor 6	PEX6	HMLR2, PAF-2, PAF2, PBD4A, PDB4B	9606	HGNC:8859
PEX7	5191	peroxisomal biogenesis factor 7	PEX7	PBD9B, PTS2R, RCDP1, RD	9606	HGNC:8860
PF4	5196	platelet factor 4	PF4	CXCL4, PF-4, SCYB4	9606	HGNC:8861
PF4V1	5197	platelet factor 4 variant 1	PF4V1	CXCL4L1, CXCL4V1, PF4-ALT, PF4A, SCYB4V1	9606	HGNC:8862
PFAS	5198	phosphoribosylformylglycinamidine synthase	PFAS	FGAMS, FGAR-AT, FGARAT, GATD8, PURL	9606	HGNC:8863
PFDN1	5201	prefoldin subunit 1	PFDN1	PDF, PFD1	9606	HGNC:8866
PFDN2	5202	prefoldin subunit 2	PFDN2	PFD2	9606	HGNC:8867
PFDN4	5203	prefoldin subunit 4	PFDN4	C1, PFD4	9606	HGNC:8868
PFDN5	5204	prefoldin subunit 5	PFDN5	MM-1, MM1, PFD5	9606	HGNC:8869
PFDN6	10471	prefoldin subunit 6	PFDN6	H2-KE2, HKE2, KE-2, PFD6	9606	HGNC:4926
PFKFB1	5207	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	PFKFB1	F6PK, HL2K, PFRX	9606	HGNC:8872
PFKFB2	5208	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	PFKFB2	PFK-2/FBPase-2	9606	HGNC:8873
PFKFB3	5209	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	IPFK2, PFK2, iPFK-2	9606	HGNC:8874
PFKFB4	5210	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	PFKFB4		9606	HGNC:8875
PFKL	5211	phosphofructokinase, liver type	PFKL	ATP-PFK, PFK-B, PFK-L	9606	HGNC:8876
PFKM	5213	phosphofructokinase, muscle	PFKM	ATP-PFK, GSD7, PFK-1, PFK-A, PFK1	9606	HGNC:8877
PFKP	5214	phosphofructokinase, platelet	PFKP	ATP-PFK, PFK-C, PFK-P, PFKF	9606	HGNC:8878
PFN1	5216	profilin 1	PFN1	ALS18	9606	HGNC:8881
PFN2	5217	profilin 2	PFN2	D3S1319E, PFL	9606	HGNC:8882
PFN3	345456	profilin 3	PFN3		9606	HGNC:18627
PFN4	375189	profilin family member 4	PFN4		9606	HGNC:31103
PGA3	643834	pepsinogen A3	PGA3		9606	HGNC:8885
PGA4	643847	pepsinogen A4	PGA4		9606	HGNC:8886
PGA5	5222	pepsinogen A5	PGA5	Pg5	9606	HGNC:8887
PGAM1	5223	phosphoglycerate mutase 1	PGAM1	HEL-S-35, PGAM-B, PGAMA	9606	HGNC:8888
PGAM1P5	100132594	phosphoglycerate mutase 1 pseudogene 5	PGAM1P5		9606	HGNC:42452
PGAM2	5224	phosphoglycerate mutase 2	PGAM2	GSD10, PGAM-M, PGAMM	9606	HGNC:8889
PGAM4	441531	phosphoglycerate mutase family member 4	PGAM4	PGAM-B, PGAM1, PGAM3, dJ1000K24.1	9606	HGNC:21731
PGAM5	192111	PGAM family member 5, mitochondrial serine/threonine protein phosphatase	PGAM5	BXLBV68	9606	HGNC:28763
PGAP1	80055	post-GPI attachment to proteins inositol deacylase 1	PGAP1	Bst1, ISPD3024, MRT42, SPG67	9606	HGNC:25712
PGAP2	27315	post-GPI attachment to proteins 2	PGAP2	CWH43-N, FRAG1, HPMRS3, MRT17, MRT21	9606	HGNC:17893
PERLD1	93210	post-GPI attachment to proteins phospholipase 3	PGAP3	AGLA546, CAB2, PERLD1, PP1498, hCOS16	9606	HGNC:23719
PGAP3	93210	post-GPI attachment to proteins phospholipase 3	PGAP3	AGLA546, CAB2, PERLD1, PP1498, hCOS16	9606	HGNC:23719
C9ORF125	84302	post-GPI attachment to proteins GalNAc transferase 4	PGAP4	C9orf125, TMEM246	9606	HGNC:28180
TMEM246	84302	post-GPI attachment to proteins GalNAc transferase 4	PGAP4	C9orf125, TMEM246	9606	HGNC:28180
TMEM8A	58986	post-glycosylphosphatidylinositol attachment to proteins 6	PGAP6	GPI-PLA2, M83, TMEM6, TMEM8, TMEM8A	9606	HGNC:17205
PGBD1	84547	piggyBac transposable element derived 1	PGBD1	HUCEP-4, SCAND4, dJ874C20.4	9606	HGNC:19398
PGBD2	267002	piggyBac transposable element derived 2	PGBD2		9606	HGNC:19399
PGBD3	267004	piggyBac transposable element derived 3	PGBD3		9606	HGNC:19400
PGBD4	161779	piggyBac transposable element derived 4	PGBD4		9606	HGNC:19401
PGBD5	79605	piggyBac transposable element derived 5	PGBD5		9606	HGNC:19405
PGC	5225	progastricsin	PGC	PEPC, PGII	9606	HGNC:8890
PGD	5226	phosphogluconate dehydrogenase	PGD	6PGD	9606	HGNC:8891
PGF	5228	placental growth factor	PGF	D12S1900, PGFL, PIGF, PLGF, PlGF-2	9606	HGNC:8893
ATHL1	80162	protein-glucosylgalactosylhydroxylysine glucosidase	PGGHG	ATHL1	9606	HGNC:26210
PGGT1B	5229	protein geranylgeranyltransferase type I subunit beta	PGGT1B	BGGI, GGTI	9606	HGNC:8895
PGK1	5230	phosphoglycerate kinase 1	PGK1	HEL-S-68p, MIG10, PGKA	9606	HGNC:8896
PGK2	5232	phosphoglycerate kinase 2	PGK2	HEL-S-272, PGKB, PGKPS, dJ417L20.2	9606	HGNC:8898
PGLS	25796	6-phosphogluconolactonase	PGLS	6PGL, HEL-S-304	9606	HGNC:8903
PGLYRP1	8993	peptidoglycan recognition protein 1	PGLYRP1	PGLYRP, PGRP, PGRP-S, PGRPS, TAG7	9606	HGNC:8904
PGLYRP2	114770	peptidoglycan recognition protein 2	PGLYRP2	HMFT0141, PGLYRPL, PGRP-L, PGRPL, TAGL-like	9606	HGNC:30013
PGLYRP3	114771	peptidoglycan recognition protein 3	PGLYRP3	PGLYRPIalpha, PGRP-Ialpha, PGRPIA	9606	HGNC:30014
PGLYRP4	57115	peptidoglycan recognition protein 4	PGLYRP4	PGLYRPIbeta, PGRP-Ibeta, PGRPIB, SBBI67	9606	HGNC:30015
PGM1	5236	phosphoglucomutase 1	PGM1	CDG1T, GSD14	9606	HGNC:8905
PGM2	55276	phosphoglucomutase 2	PGM2	MSTP006	9606	HGNC:8906
PGM2L1	283209	phosphoglucomutase 2 like 1	PGM2L1	BM32A, PMMLP	9606	HGNC:20898
PGM3	5238	phosphoglucomutase 3	PGM3	AGM1, IMD23, PAGM, PGM 3	9606	HGNC:8907
PGM5	5239	phosphoglucomutase 5	PGM5	PGMRP	9606	HGNC:8908
PGM5P2	595135	phosphoglucomutase 5 pseudogene 2	PGM5P2		9606	HGNC:18965
PGP	283871	phosphoglycolate phosphatase	PGP	AUM, G3PP, PGPase	9606	HGNC:8909
PGPEP1	54858	pyroglutamyl-peptidase I	PGPEP1	PAP-I, PGI, PGP, PGP-I, PGPI	9606	HGNC:13568
PGPEP1L	145814	pyroglutamyl-peptidase I like	PGPEP1L		9606	HGNC:27080
PGR	5241	progesterone receptor	PGR	NR3C3, PR	9606	HGNC:8910
PGRMC1	10857	progesterone receptor membrane component 1	PGRMC1	Dap1, HPR6.6, IZA, MPR	9606	HGNC:16090
PGRMC2	10424	progesterone receptor membrane component 2	PGRMC2	DG6, PMBP	9606	HGNC:16089
PGS1	9489	phosphatidylglycerophosphate synthase 1	PGS1		9606	HGNC:30029
PHACTR1	221692	phosphatase and actin regulator 1	PHACTR1	DEE70, EIEE70, RPEL, RPEL1, dJ257A7.2	9606	HGNC:20990
PHACTR2	9749	phosphatase and actin regulator 2	PHACTR2	C6orf56	9606	HGNC:20956
PHACTR3	116154	phosphatase and actin regulator 3	PHACTR3	C20orf101, H17739, PPP1R123, SCAPIN1, SCAPININ	9606	HGNC:15833
PHACTR4	65979	phosphatase and actin regulator 4	PHACTR4	PPP1R124	9606	HGNC:25793
C16ORF70	80262	phagosome assembly factor 1	PHAF1	C16orf6, C16orf70, LIN10, lin-10	9606	HGNC:29564
PHAX	51808	phosphorylated adaptor for RNA export	PHAX	RNUXA	9606	HGNC:10241
RNUXA	51808	phosphorylated adaptor for RNA export	PHAX	RNUXA	9606	HGNC:10241
PHB	5245	prohibitin	PHB	HEL-215, HEL-S-54e, PHB1	9606	HGNC:8912
PHB2	11331	prohibitin 2	PHB2	BAP, BCAP37, Bap37, PNAS-141, REA	9606	HGNC:30306
PHC1	1911	polyhomeotic homolog 1	PHC1	EDR1, HPH1, MCPH11, RAE28	9606	HGNC:3182
PHC1P1	653441	polyhomeotic homolog 1 pseudogene 1	PHC1P1	PHC1B	9606	HGNC:34502
PHC2	1912	polyhomeotic homolog 2	PHC2	EDR2, HPH2, PH2	9606	HGNC:3183
